"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","D2S1","Taxes on production and imports","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,249288,,
"CAN","Canada","D2S1","Taxes on production and imports","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,265131,,
"CAN","Canada","D2S1","Taxes on production and imports","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,274574,,
"CAN","Canada","D2S1","Taxes on production and imports","C","Current prices","2019","2019","CAD","Canadian Dollar","6","Millions",,,280246,,
"CAN","Canada","D2S1","Taxes on production and imports","C","Current prices","2020","2020","CAD","Canadian Dollar","6","Millions",,,266251,,
"CAN","Canada","D2S1","Taxes on production and imports","C","Current prices","2021","2021","CAD","Canadian Dollar","6","Millions",,,295291,,
"CAN","Canada","P51","Gross fixed capital formation","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,368210,,
"CAN","Canada","P51","Gross fixed capital formation","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,388891,,
"CAN","Canada","P51","Gross fixed capital formation","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,350517,,
"CAN","Canada","P51","Gross fixed capital formation","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,390875,,
"CAN","Canada","P51","Gross fixed capital formation","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,417091,,
"CAN","Canada","P51","Gross fixed capital formation","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,447559,,
"CAN","Canada","P51","Gross fixed capital formation","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,460101,,
"CAN","Canada","P51","Gross fixed capital formation","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,486542,,
"CAN","Canada","P51","Gross fixed capital formation","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,474732,,
"CAN","Canada","P51","Gross fixed capital formation","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,461262,,
"CAN","Canada","P51","Gross fixed capital formation","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,485847,,
"CAN","Canada","P51","Gross fixed capital formation","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,506963,,
"CAN","Canada","P51","Gross fixed capital formation","C","Current prices","2019","2019","CAD","Canadian Dollar","6","Millions",,,522402,,
"CAN","Canada","P51","Gross fixed capital formation","C","Current prices","2020","2020","CAD","Canadian Dollar","6","Millions",,,519733,,
"CAN","Canada","P51","Gross fixed capital formation","C","Current prices","2021","2021","CAD","Canadian Dollar","6","Millions",,,602537,,
"CAN","Canada","P31S14","Final consumption expenditure of households","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,842029,,
"CAN","Canada","P31S14","Final consumption expenditure of households","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,878509,,
"CAN","Canada","P31S14","Final consumption expenditure of households","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,881695,,
"CAN","Canada","P31S14","Final consumption expenditure of households","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,926720,,
"CAN","Canada","P31S14","Final consumption expenditure of households","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,967084,,
"CAN","Canada","P31S14","Final consumption expenditure of households","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,998053,,
"CAN","Canada","P31S14","Final consumption expenditure of households","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,1038086,,
"CAN","Canada","P31S14","Final consumption expenditure of households","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,1086253,,
"CAN","Canada","P31S14","Final consumption expenditure of households","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,1122079,,
"CAN","Canada","P31S14","Final consumption expenditure of households","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,1153668,,
"CAN","Canada","P31S14","Final consumption expenditure of households","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,1209153,,
"CAN","Canada","P31S14","Final consumption expenditure of households","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,1260446,,
"CAN","Canada","P31S14","Final consumption expenditure of households","C","Current prices","2019","2019","CAD","Canadian Dollar","6","Millions",,,1300816,,
"CAN","Canada","P31S14","Final consumption expenditure of households","C","Current prices","2020","2020","CAD","Canadian Dollar","6","Millions",,,1227897,,
"CAN","Canada","P31S14","Final consumption expenditure of households","C","Current prices","2021","2021","CAD","Canadian Dollar","6","Millions",,,1327635,,
"CAN","Canada","P31S13","Individual consumption expenditure of general government","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,186681.2,"E","Estimated value"
"CAN","Canada","P31S13","Individual consumption expenditure of general government","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,199465.73,"E","Estimated value"
"CAN","Canada","P31S13","Individual consumption expenditure of general government","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,209884.295,"E","Estimated value"
