"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","D1","Compensation of employees","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,883045,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,923413,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,961179,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,998463,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,1026846,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,1026483,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,1069956,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,1126948,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2019","2019","CAD","Canadian Dollar","6","Millions",,,1174784,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2020","2020","CAD","Canadian Dollar","6","Millions",,,1161007,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2021","2021","CAD","Canadian Dollar","6","Millions",,,1269913,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","1993","1993","CAD","Canadian Dollar","6","Millions",,,217706,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","1994","1994","CAD","Canadian Dollar","6","Millions",,,259621,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","1995","1995","CAD","Canadian Dollar","6","Millions",,,300199,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","1996","1996","CAD","Canadian Dollar","6","Millions",,,318985,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","1997","1997","CAD","Canadian Dollar","6","Millions",,,345826,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","1998","1998","CAD","Canadian Dollar","6","Millions",,,376490,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","1999","1999","CAD","Canadian Dollar","6","Millions",,,421926,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2000","2000","CAD","Canadian Dollar","6","Millions",,,488982,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2001","2001","CAD","Canadian Dollar","6","Millions",,,481162,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2002","2002","CAD","Canadian Dollar","6","Millions",,,478175,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2003","2003","CAD","Canadian Dollar","6","Millions",,,462573,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2004","2004","CAD","Canadian Dollar","6","Millions",,,498596,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2005","2005","CAD","Canadian Dollar","6","Millions",,,523945,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2006","2006","CAD","Canadian Dollar","6","Millions",,,529824,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,540026,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,569939,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,448079,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,485942,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,544254,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,554612,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,576989,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,633112,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,633955,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,638095,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,673326,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,722690,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2019","2019","CAD","Canadian Dollar","6","Millions",,,748500,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2020","2020","CAD","Canadian Dollar","6","Millions",,,655852,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2021","2021","CAD","Canadian Dollar","6","Millions",,,775823,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","1993","1993","CAD","Canadian Dollar","6","Millions",,,5218.88,"E","Estimated value"
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","1994","1994","CAD","Canadian Dollar","6","Millions",,,5525.299,"E","Estimated value"
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","1995","1995","CAD","Canadian Dollar","6","Millions",,,6218.157,"E","Estimated value"
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","1996","1996","CAD","Canadian Dollar","6","Millions",,,6221.085,"E","Estimated value"
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","1997","1997","CAD","Canadian Dollar","6","Millions",,,5982,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","1998","1998","CAD","Canadian Dollar","6","Millions",,,6112,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","1999","1999","CAD","Canadian Dollar","6","Millions",,,6429,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","2000","2000","CAD","Canadian Dollar","6","Millions",,,6686,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","2001","2001","CAD","Canadian Dollar","6","Millions",,,6906,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","2002","2002","CAD","Canadian Dollar","6","Millions",,,7204,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","2003","2003","CAD","Canadian Dollar","6","Millions",,,7312,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","2004","2004","CAD","Canadian Dollar","6","Millions",,,7486,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","2005","2005","CAD","Canadian Dollar","6","Millions",,,7631,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","2006","2006","CAD","Canadian Dollar","6","Millions",,,7583,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,7573,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,7607,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,7311,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,7462,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,7973,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,8396,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","1993","1993","CAD","Canadian Dollar","6","Millions",,,689228,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","1994","1994","CAD","Canadian Dollar","6","Millions",,,732194,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","1995","1995","CAD","Canadian Dollar","6","Millions",,,768625,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","1996","1996","CAD","Canadian Dollar","6","Millions",,,795670,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","1997","1997","CAD","Canadian Dollar","6","Millions",,,840500,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","1998","1998","CAD","Canadian Dollar","6","Millions",,,870794,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","1999","1999","CAD","Canadian Dollar","6","Millions",,,933723,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2000","2000","CAD","Canadian Dollar","6","Millions",,,1027448,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2001","2001","CAD","Canadian Dollar","6","Millions",,,1065641,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2002","2002","CAD","Canadian Dollar","6","Millions",,,1105074,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2003","2003","CAD","Canadian Dollar","6","Millions",,,1165456,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2004","2004","CAD","Canadian Dollar","6","Millions",,,1241733,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2005","2005","CAD","Canadian Dollar","6","Millions",,,1323865,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2006","2006","CAD","Canadian Dollar","6","Millions",,,1395881,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,1473053,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,1555045,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,1469118,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,1559049,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,1662354,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,1710433,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,1781930,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,1867752,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,1856814,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,1886103,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,1991534,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,2083379,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2019","2019","CAD","Canadian Dollar","6","Millions",,,2158038,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2020","2020","CAD","Canadian Dollar","6","Millions",,,2071629,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2021","2021","CAD","Canadian Dollar","6","Millions",,,2335728,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","1993","1993","CAD","Canadian Dollar","6","Millions",,,64125,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","1994","1994","CAD","Canadian Dollar","6","Millions",,,65773,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","1995","1995","CAD","Canadian Dollar","6","Millions",,,68002,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","1996","1996","CAD","Canadian Dollar","6","Millions",,,69429,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","1997","1997","CAD","Canadian Dollar","6","Millions",,,74394,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","1998","1998","CAD","Canadian Dollar","6","Millions",,,77531,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","1999","1999","CAD","Canadian Dollar","6","Millions",,,81768,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","2000","2000","CAD","Canadian Dollar","6","Millions",,,86502,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","2001","2001","CAD","Canadian Dollar","6","Millions",,,90202,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","2002","2002","CAD","Canadian Dollar","6","Millions",,,97380,,
